Entity,Code,Year,all years
Brown,,2021,2908
Brown,,2021,43662
Brown,,2021,38101
Brown,,2021,38192
Brown,,2021,269591
Brule,,2020,5263
Brule,,2021,5242
Brunswick,,2020,138084
Brunswick,,2020,15806
Brunswick,,2021,144215
Brunswick,,2021,15940
Bryan,,2020,44999
Bryan,,2020,46293
Bryan,,2021,46938
Bryan,,2021,47105
Buchanan,,2020,20586
Buchanan,,2020,84615
Buchanan,,2020,20216
Buchanan,,2021,20657
Buchanan,,2021,83853
Buchanan,,2021,19816
Buckingham,,2020,16820
Buckingham,,2021,16947
Bucks,,2020,646008
Bucks,,2021,646098
Buena Vista,,2020,20776
Buena Vista,,2021,20771
Buena Vista city,,2020,6620
Buena Vista city,,2021,6601
Buffalo,,2020,50129
Buffalo,,2020,1944
Buffalo,,2020,13320
Buffalo,,2021,50339
Buffalo,,2021,1923
Buffalo,,2021,13302
Bullitt,,2020,82293
Bullitt,,2021,82918
Bulloch,,2020,81378
Bulloch,,2021,82442
Bullock,,2020,10309
Bullock,,2021,10320
Buncombe,,2020,269621
Buncombe,,2021,271534
Bureau,,2020,33118
Bureau,,2021,32883
Burke,,2020,24621
Burke,,2020,87546
Burke,,2020,2189
Burke,,2021,24310
Burke,,2021,87611
Burke,,2021,2158
Burleigh,,2020,98467
Burleigh,,2021,98933
Burleson,,2020,17644
Burleson,,2021,18051
Burlington,,2020,461862
Burlington,,2021,464269
Burnet,,2020,49427
Burnet,,2021,50954
Burnett,,2020,16588
Burnett,,2021,16744
Burt,,2020,6721
Burt,,2021,6709
Butler,,2020,19045
Butler,,2020,14311
Butler,,2020,67401
Butler,,2020,12318
Butler,,2020,42007
Butler,,2020,8349
Butler,,2020,390600
Butler,,2020,193851
Butler,,2021,18884
Butler,,2021,14332
Butler,,2021,67889
Butler,,2021,12294
Butler,,2021,42101
Butler,,2021,8444
Butler,,2021,390234
Butler,,2021,194273
Butte,,2020,210083
Butte,,2020,2577
Butte,,2020,10249
Butte,,2021,208309
Butte,,2021,2654
Butte,,2021,10456
Butts,,2020,25542
Butts,,2021,25781
Cabarrus,,2020,227065
Cabarrus,,2021,231278
Cabell,,2020,94137
Cabell,,2021,93418
Cache,,2020,133527
Cache,,2021,137417
Caddo,,2020,237056
Caddo,,2020,26858
Caddo,,2021,233092
Caddo,,2021,26368
Calaveras,,2020,45327
Calaveras,,2021,46221
Calcasieu,,2020,216416
Calcasieu,,2021,205282
Caldwell,,2020,12632
Caldwell,,2020,9617
Caldwell,,2020,8806
Caldwell,,2020,80512
Caldwell,,2020,45967
Caldwell,,2021,12624
Caldwell,,2021,9571
Caldwell,,2021,8897
Caldwell,,2021,80463
Caldwell,,2021,46791
Caledonia,,2020,30184
Caledonia,,2021,30403
Calhoun,,2020,116266
Calhoun,,2020,4725
Calhoun,,2020,13615
Calhoun,,2020,5560
Calhoun,,2020,4411
Calhoun,,2020,9886
Calhoun,,2020,134113
Calhoun,,2020,13240
Calhoun,,2020,14125
Calhoun,,2020,20047
Calhoun,,2020,6199
Calhoun,,2021,115972
Calhoun,,2021,4741
Calhoun,,2021,13641
Calhoun,,2021,5509
Calhoun,,2021,4369
Calhoun,,2021,9915
Calhoun,,2021,133819
Calhoun,,2021,13018
Calhoun,,2021,14165
Calhoun,,2021,19727
Calhoun,,2021,6176
Callahan,,2020,13750
Callahan,,2021,14115
Callaway,,2020,44288
Callaway,,2021,44638
Calloway,,2020,37147
Calloway,,2021,37560
Calumet,,2020,52476
Calumet,,2021,52539
Calvert,,2020,92857
Calvert,,2021,93928
Camas,,2020,1089
Camas,,2021,1139
Cambria,,2020,132957
Cambria,,2021,132167
Camden,,2020,54911
Camden,,2020,42784
Camden,,2020,523204
Camden,,2020,10398
Camden,,2021,55664
Camden,,2021,43436
