Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2020;31.12.2020;31.12.2021;31.12.2021;31.12.2022;31.12.2022;31.12.2023;31.12.2023;31.12.2024;31.12.2024
06534;Marburg-Biedenkopf, Landkreis;245903;e;246097;e;242197;e;243093;e;242805;e
06535;Vogelsbergkreis;105506;e;105671;e;101545;e;101494;e;101163;e
06611;Kassel, kreisfreie Stadt;201048;e;200406;e;196575;e;197065;e;197230;e
06631;Fulda, Landkreis;223023;e;223572;e;221445;e;222688;e;222283;e
06632;Hersfeld-Rotenburg, Landkreis;120304;e;120163;e;118183;e;118010;e;117414;e
06633;Kassel, Landkreis;237007;e;237268;e;230318;e;230742;e;231073;e
06634;Schwalm-Eder-Kreis;179840;e;180052;e;179406;e;180368;e;180071;e
06635;Waldeck-Frankenberg, Landkreis;156528;e;156513;e;155068;e;155135;e;155126;e
06636;Werra-Meißner-Kreis;100046;e;99714;e;98044;e;98055;e;97695;e
07111;Koblenz, kreisfreie Stadt;113388;e;113638;e;113294;e;113346;e;113378;e
07131;Ahrweiler, Landkreis;130479;e;128146;e;127881;e;128546;e;129353;e
07132;Altenkirchen (Westerwald), Landkreis;129087;e;129261;e;131657;e;132149;e;132125;e
07133;Bad Kreuznach, Landkreis;158746;e;159402;e;163979;e;164564;e;164748;e
07134;Birkenfeld, Landkreis;80830;e;80849;e;82350;e;82622;e;82611;e
07135;Cochem-Zell, Landkreis;61578;e;61735;e;61509;e;61538;e;61608;e
07137;Mayen-Koblenz, Landkreis;214786;e;215446;e;216056;e;216874;e;217228;e
07138;Neuwied, Landkreis;183131;e;184390;e;187905;e;188656;e;189061;e
07140;Rhein-Hunsrück-Kreis;103401;e;103767;e;105740;e;106390;e;106705;e
07141;Rhein-Lahn-Kreis;122574;e;122724;e;124860;e;125283;e;125588;e
07143;Westerwaldkreis;202830;e;203831;e;207154;e;207648;e;207803;e
07211;Trier, kreisfreie Stadt;110674;e;110570;e;103307;e;103986;e;104342;e
07231;Bernkastel-Wittlich, Landkreis;112685;e;113194;e;113299;e;113327;e;113187;e
07232;Eifelkreis Bitburg-Prüm;100055;e;100959;e;99866;e;100740;e;99788;e
07233;Vulkaneifel, Landkreis;60491;e;60882;e;59389;e;59542;e;59313;e
07235;Trier-Saarburg, Landkreis;150533;e;151167;e;149015;e;149056;e;148953;e
07311;Frankenthal (Pfalz), kreisfreie Stadt;48750;e;48773;e;48007;e;48107;e;48140;e
07312;Kaiserslautern, kreisfreie Stadt;99662;e;99292;e;100316;e;100571;e;100426;e
07313;Landau in der Pfalz, kreisfreie Stadt;46685;e;46919;e;47455;e;48202;e;48209;e
07314;Ludwigshafen am Rhein, kreisfreie Stadt;172557;e;172145;e;173869;e;175816;e;177222;e
07315;Mainz, kreisfreie Stadt;217123;e;217556;e;221516;e;223871;e;224684;e
07316;Neustadt an der Weinstraße, kreisfreie Stadt;53306;e;53491;e;52759;e;52709;e;52945;e
07317;Pirmasens, kreisfreie Stadt;40176;e;40054;e;39324;e;39576;e;39761;e
07318;Speyer, kreisfreie Stadt;50741;e;50565;e;49881;e;49874;e;49564;e
07319;Worms, kreisfreie Stadt;83459;e;83850;e;85378;e;86403;e;86753;e
07320;Zweibrücken, kreisfreie Stadt;34001;e;34091;e;33264;e;33355;e;33323;e
07331;Alzey-Worms, Landkreis;130715;e;131330;e;129893;e;130794;e;131238;e
07332;Bad Dürkheim, Landkreis;133004;e;133206;e;134032;e;134221;e;134329;e
07333;Donnersbergkreis;75539;e;75569;e;74854;e;74728;e;74783;e
07334;Germersheim, Landkreis;129006;e;129313;e;130935;e;131678;e;131383;e
07335;Kaiserslautern, Landkreis;106320;e;106853;e;105752;e;106082;e;106343;e
07336;Kusel, Landkreis;70105;e;69949;e;70124;e;69846;e;69334;e
07337;Südliche Weinstraße, Landkreis;110783;e;111279;e;112907;e;113150;e;113031;e
07338;Rhein-Pfalz-Kreis;154754;e;155050;e;155061;e;155525;e;155882;e
07339;Mainz-Bingen, Landkreis;211525;e;212420;e;205823;e;206220;e;206454;e
07340;Südwestpfalz, Landkreis;94912;e;94819;e;90144;e;90168;e;89974;e
08111;Stuttgart, kreisfreie Stadt;630305;e;626275;e;612041;e;613111;e;612663;e
08115;Böblingen, Landkreis;392898;e;393195;e;391368;e;394261;e;395167;e
08116;Esslingen, Landkreis;533617;e;533388;e;533434;e;536027;e;536601;e
08117;Göppingen, Landkreis;258781;e;259046;e;257269;e;259232;e;258809;e
08118;Ludwigsburg, Landkreis;544971;e;544679;e;532109;e;534808;e;535374;e
08119;Rems-Murr-Kreis;427286;e;427316;e;438079;e;440103;e;440696;e
08121;Heilbronn, kreisfreie Stadt;126458;e;125613;e;129931;e;131653;e;131986;e
08125;Heilbronn, Landkreis;346363;e;347798;e;351402;e;353609;e;353877;e
08126;Hohenlohekreis;112765;e;113318;e;114553;e;115335;e;115644;e
08127;Schwäbisch Hall, Landkreis;197860;e;199398;e;198650;e;200597;e;200902;e
08128;Main-Tauber-Kreis;132684;e;132956;e;132793;e;133459;e;133169;e
08135;Heidenheim, Landkreis;132812;e;132958;e;134766;e;135241;e;135235;e
08136;Ostalbkreis;314294;e;315009;e;316343;e;317263;e;317427;e
08211;Baden-Baden, kreisfreie Stadt;55449;e;55527;e;56094;e;56526;e;56881;e
08212;Karlsruhe, kreisfreie Stadt;308436;e;306502;e;306630;e;308197;e;309050;e
08215;Karlsruhe, Landkreis;446852;e;448487;e;453378;e;455350;e;456264;e
08216;Rastatt, Landkreis;232091;e;232296;e;230698;e;231356;e;230737;e
08221;Heidelberg, kreisfreie Stadt;158741;e;159245;e;154570;e;155175;e;155756;e
08222;Mannheim, kreisfreie Stadt;309721;e;311831;e;314961;e;316256;e;318035;e
08225;Neckar-Odenwald-Kreis;143797;e;143929;e;145039;e;145681;e;145263;e
08226;Rhein-Neckar-Kreis;548233;e;549030;e;556316;e;557819;e;558561;e
08231;Pforzheim, kreisfreie Stadt;126016;e;125529;e;133896;e;135087;e;134912;e
08235;Calw, Landkreis;160149;e;160686;e;160139;e;161181;e;161251;e
08236;Enzkreis;199752;e;200237;e;198950;e;199878;e;199745;e
08237;Freudenstadt, Landkreis;118364;e;119183;e;121450;e;121901;e;121958;e
08311;Freiburg im Breisgau, kreisfreie Stadt;230940;e;231848;e;235003;e;236236;e;237460;e
08315;Breisgau-Hochschwarzwald, Landkreis;264867;e;265792;e;269631;e;271977;e;272558;e
08316;Emmendingen, Landkreis;166862;e;167945;e;168004;e;169470;e;169787;e
08317;Ortenaukreis;432580;e;434535;e;440768;e;443482;e;444858;e
08325;Rottweil, Landkreis;140166;e;140446;e;139968;e;140344;e;140237;e
08326;Schwarzwald-Baar-Kreis;212872;e;213385;e;212293;e;213922;e;214065;e
08327;Tuttlingen, Landkreis;141682;e;142414;e;143677;e;144955;e;145208;e
08335;Konstanz, Landkreis;286876;e;288097;e;289613;e;291397;e;291841;e
08336;Lörrach, Landkreis;228842;e;229445;e;235252;e;237212;e;238263;e
08337;Waldshut, Landkreis;171237;e;171249;e;170765;e;171777;e;171579;e
08415;Reutlingen, Landkreis;287497;e;288158;e;291335;e;293385;e;293483;e
08416;Tübingen, Landkreis;228471;e;229806;e;230987;e;232897;e;233546;e
08417;Zollernalbkreis;189862;e;190545;e;192726;e;193339;e;193326;e
08421;Ulm, kreisfreie Stadt;126405;e;126949;e;127932;e;128998;e;129882;e
08425;Alb-Donau-Kreis;198204;e;199732;e;200294;e;201769;e;202354;e
08426;Biberach, Landkreis;202250;e;203244;e;205073;e;206783;e;207415;e
08435;Bodenseekreis;217901;e;218885;e;219641;e;221208;e;220804;e
08436;Ravensburg, Landkreis;285888;e;287011;e;287393;e;289725;e;291102;e
08437;Sigmaringen, Landkreis;130946;e;131725;e;132507;e;132758;e;132167;e
09161;Ingolstadt, kreisfreie Stadt;136952;e;138016;e;138263;e;139536;e;141185;e
09162;München, kreisfreie Stadt;1488202;e;1487708;e;1490516;e;1488719;e;1505005;e
09163;Rosenheim, kreisfreie Stadt;63591;e;63508;e;63641;e;64453;e;65274;e
09171;Altötting, Landkreis;111654;e;112116;e;112296;e;113018;e;113938;e
09172;Berchtesgadener Land, Landkreis;106327;e;106389;e;104372;e;105108;e;105292;e
09173;Bad Tölz-Wolfratshausen, Landkreis;128212;e;127919;e;129062;e;129787;e;130248;e
09174;Dachau, Landkreis;155117;e;155449;e;151041;e;151925;e;153595;e
